Col morada cruda picada,1,1,taza,70,56,17,0.8,0.1,4.1,1.2,31.4,31.9,10.1,0.4,136.1,ND,ND,,,,,,,,,,
Colesita de Bruselas cocida,1,3,pieza,63,63,23,1.6,0.3,4.5,1.6,24.6,39.1,37.8,0.8,199.5,ND,ND,,,,,,,,,,
Coliflor cocida,1,1,taza,125,125,28,2.3,0.6,5.1,2.9,1.3,55.4,55,0.4,177.4,ND,ND,,,,,,,,,,
Coliflor cruda,1,2,taza,200,80,20,1.6,0.1,4.2,2,0.8,37.1,45.6,0.4,242.4,ND,ND,,,,,,,,,,
Coliflor verde cocida,1,1/2,taza,68,68,22,2.1,2.1,4.2,2.2,4.7,49,27.7,0.5,187.7,ND,ND,,,,,,,,,,
Coliflor verde cruda,1,2,taza,128,78,24,2.3,2.3,4.8,2.5,6.2,68.8,44.5,0.6,234.2,ND,ND,,,,,,,,,,
Colinabo crudo,1,90,g,90,66,22,1.1,1.1,4.1,1.4,0.3,40.7,ND,0.3,230,ND,ND,,,,,,,,,,
Cozarón de alcachofa crudo,1,1,pieza,25,25,16,0.6,0.6,4.1,0.3,3,1.5,18.5,0.2,84.8,ND,ND,,,,,,,,,,
Corazón de lechuga crudo,1,1,pieza,130,124,12,1.2,1.2,4.4,1.9,43.2,6.2,67.9,0.6,197.6,ND,ND,,,,,,,,,,
Corazón de palmito crudo,1,3,pieza,99,99,27,2.4,2.4,4.5,2.4,0,9,39,3.1,174,ND,ND,,,,,,,,,,
Cresón cocido,1,1,taza,135,135,31,2.6,2.6,5.2,1,313.2,31.1,50,1.1,476.6,ND,ND,,,,,,,,,,
Cresón limpio crudo,1,2,taza,100,100,32,2.8,2.8,5.6,1.2,346,69,80,1.3,606,ND,ND,,,,,,,,,,
Crucetas crudas,1,150,g,150,117,21,1.3,1.3,4.3,0.8,25.7,28.1,0,6.8,0,ND,ND,,,,,,,,,,
Cuitlacoche cocido,1,1/3,taza,66,66,20,0.8,0.8,4.1,1.2,0,2.6,ND,0.3,ND,ND,ND,,,,,,,,,,
Echalot,1,1,pieza,40,34,25,0.9,0.9,5.8,ND,20.6,2.8,11.7,0.4,119.9,ND,ND,,,,,,,,,,
Ejotes cocidos picados,1,1/2,taza,63,63,22,1.2,1.2,4.9,2,21.9,6.1,20.6,0.4,91.3,ND,ND,,,,,,,,,,
Elotitos de cambray,1,8,pieza,64,64,26,2.1,2.1,4.3,1.8,14,3.9,29.7,0.4,159.2,ND,ND,,,,,,,,,,
Envidia cruda,1,3,taza,150,129,22,1.6,1.6,4.3,4,139.3,8.4,183.2,1.1,405.1,ND,ND,,,,,,,,,,
Espárragos crudos,1,6,pieza,90,90,22,2.3,2.3,3.8,2.8,49,10,131,0.7,144,ND,ND,,,,,,,,,,
Espinaca cocida,1,1/2,taza,90,90,21,2.7,2.7,3.4,3.2,471.6,8.8,131.1,3.2,419,ND,ND,,,,,,,,,,
Espinaca cruda picada,1,2,taza,120,120,28,3.4,3.4,4.4,2.6,562.8,33.7,232.8,3.3,669.6,ND,ND,,,,,,,,,,
Flor de calabaza cocida,1,1,taza,134,134,20,1.4,1.4,4.4,1.2,116.6,6,54,1.2,142,ND,ND,,,,,,,,,,
Flor de calabaza cruda picada,1,4,taza,132,132,20,1.2,1.2,4.4,ND,128,36,76,0.9,228,ND,ND,,,,,,,,,,
Flor de colorín cocida,1,1/2,taza,40,40,24,1.8,1.8,4,1,2.6,14.8,ND,1,ND,ND,ND,,,,,,,,,,
Flor de colorín cruda,1,1,taza,40,40,24,1.8,1.8,4,1,2.6,14.8,ND,1,ND,ND,ND,,,,,,,,,,
Flor de garambullo cruda,1,50,g,50,50,19,0.4,0.4,4.1,0.4,10.5,20,ND,2.2,ND,ND,ND,,,,,,,,,,
Flor de maguey cruda,1,60,g,60,60,21,0.5,0.5,4.4,0.4,14.4,35.4,ND,0.5,ND,ND,ND,,,,,,,,,,
Flor de Yuca cruda,1,75,g,75,75,29,2,2,4.5,0.5,0.8,204.8,ND,0.5,ND,ND,ND,,,,,,,,,,
Germen de alfalfa cruda,1,3,taza,99,99,23,4,4,2.1,1.9,7.9,8.1,35.6,1,78,ND,ND,,,,,,,,,,
Germen de lenteja crudo,1,1/4,taza,19,19,20,1.7,1.7,4.3,ND,0.4,3.2,19.3,0.6,62,ND,ND,,,,,,,,,,
Germen de soya cocidpo,1,1/3,taza,31,31,25,2.7,1.4,2.1,0.3,0.6,2.6,25.1,0.4,111.3,ND,ND,,,,,,,,,,
Granos de elote crudos,1,2,cuchara,21,21,18,0.7,0.2,4,0.6,1.9,0.4,9.7,0.1,56.7,54,2.2,,,,,,,,,,
Haba verde,1,4,pieza,32,32,23,1.8,0.2,3.7,1.3,5.8,10.6,30.7,0.6,80,55,2.1,,,,,,,,,,
Hojas de amaranto cocidas,1,100,g,100,100,21,2.1,0.2,4.1,ND,139,41.1,57,2.3,641,ND,ND,,,,,,,,,,
Hojas de amaranto crudas,1,6,hojas,84,84,19,2.1,0.3,3.4,ND,122.6,36.4,71.4,1.9,513.2,ND,ND,,,,,,,,,,
Hojas de chicoria cruda,1,130,g,130,130,26,1.6,0.3,4.4,1.2,133.3,9.1,184.6,1,408.2,ND,ND,,,,,,,,,,
Hojas de dientes de león,1,50,g,50,45,24,1.2,0.3,4.1,0.8,49.1,15.8,ND,1.4,178.7,ND,ND,,,,,,,,,,
Hojas de pata de paloma,1,30,g,30,25,20,0.8,0.4,4.2,0.4,21.9,11.1,ND,1.5,ND,ND,ND,,,,,,,,,,
"Hojas de remolacha, crudas",1,2,hojas,64,64,14,1.4,0.1,2.8,2.4,202.2,19.2,9.6,1.6,487.7,ND,ND,,,,,,,,,,
"Hojas de remolacha, hervida",1,1/2,taza,72,72,19,1.9,0.1,3.9,2.1,603.4,17.9,10.1,1.4,654.5,ND,ND,,,,,,,,,,
Hongos porrtobello crudo,1,1,pieza,84,81,21,2,0.2,4.1,1.2,0,0,17.9,0.5,394.4,ND,ND,,,,,,,,,,
Hongos shiitake deshidratados,1,1,pieza,4,4,11,0.3,0,2.7,0.4,0,0.1,5.9,0.1,55.2,ND,ND,,,,,,,,,,
Hongos crudos,1,1,taza,70,63,17,2,0.3,2.8,1.6,0,1.9,13.2,2.7,233.1,ND,ND,,,,,,,,,,
Huanzontle,1,1/2,taza,40,40,24,1.8,0.3,4.8,1.1,50.4,18,ND,2.4,ND,ND,ND,,,,,,,,,,
Huitlacoche cocido,1,1/3,taza,66,66,20,8,0.1,4.1,1.2,0,2.6,ND,0.3,107.5,ND,ND,,,,,,,,,,
Ibes frescos,1,30,g,30,17,22,1.7,0,3.6,0.5,7.2,2.6,ND,0.2,107.3,ND,ND,,,,,,,,,,
Jicama picada,1,1/2,taza,60,60,23,4,0.1,5.3,2.9,0.6,12.1,7.2,0.4,90,ND,ND,,,,,,,,,,
Jitomate,1,120,g,120,113,20,1,0.2,4.4,1.4,47.4,14.3,16.9,0.3,267.3,ND,ND,,,,,,,,,,
Jitomate bola,1,1,pieza,123,108,19,1,0.2,4.2,1.3,45.5,13.7,16.2,0.3,256.5,ND,ND,,,,,,,,,,
Jitomate cereza,1,4,pieza,100,95,17,0.8,0.2,3.7,1.1,39.9,12.1,14.3,0.3,225.2,ND,ND,,,,,,,,,,
Jitomate deshidratado,1,5,pieza,10,10,23,1.5,0.5,4.3,2,5,5,0,0.5,0,ND,ND,,,,,,,,,,
Jitomate guaje o saladet,1,2,pieza,130,124,22,1.1,0.2,4.8,1.5,51.9,15.7,18.5,0.3,292.7,ND,ND,,,,,,,,,,
Jitomate verde,1,1,pieza,123,123,28,1.5,0.2,6.3,1.4,39.4,29,11,0.6,251,ND,ND,,,,,,,,,,
Jitomatillo (miltomate),1,70,g,70,60,21,0.9,0.1,4.3,0.9,150.5,51.2,5.4,3.6,124.6,ND,ND,,,,,,,,,,
Jugo de tomate,1,1/2,taza,122,122,21,0.9,0.1,5.1,0.5,27.9,22.2,24.3,0.5,278.2,ND,ND,,,,,,,,,,
Jugo de verduras,1,1/2,taza,121,121,23,0.8,0.1,5.5,1,94.4,33.5,25.4,0.5,233.5,ND,ND,,,,,,,,,,
Jugo de zanahoria,1,1/4,taza,59,59,24,0.6,0.1,5.5,0.5,564,5,2.4,0.3,172.2,ND,ND,,,,,,,,,,
Lechuga,1,3,taza,141,135,23,1.7,0.4,4.5,2.8,392.5,32.5,184.1,1.3,334.3,ND,ND,,,,,,,,,,
Lengua de vaca,1,110,g,110,99,27,2,0.7,3.2,0.8,198,47.5,ND,2.4,386.1,ND,ND,,,,,,,,,,
Lenteja germinada cocida,1,1/4,taza,19,19,19,1.7,0.1,4.1,ND,0.4,2.4,12.9,0.6,54.7,ND,ND,,,,,,,,,,
Malva,1,100,g,100,85,34,4.1,0.5,3.3,0.8,255,29.8,ND,1.7,ND,ND,ND,,,,,,,,,,
"Mezcla de verduras congeladas, cocidas sin sal",1,1/2,taza,46,46,30,1.3,0.1,4.6,2,97.4,1.5,8.6,0.4,76.9,ND,ND,,,,,,,,,,
Morillas deshidratadas,1,10,g,10,10,27,3.2,0.4,4.4,2.5,0,3,21,4.3,370,ND,ND,,,,,,,,,,
Morillas frescas,1,110,g,110,94,25,3,0.4,4.1,2.3,0,2.8,19.6,4,346,ND,ND,,,,,,,,,,
Nabo cocido,1,150,g,150,99,22,0.7,0.1,5,2,0,11.5,8.9,0.2,175.2,ND,ND,,,,,,,,,,
Nopal cocido,1,1,taza,149,149,22,2,0.1,4.9,3,32.8,7.9,4.5,0.7,291,ND,ND,,,,,,,,,,
Nopal crudo,1,2,pieza,140,134,22,1.8,0.1,4.5,3.2,30.9,12.5,4,0.8,345.4,ND,ND,,,,,,,,,,
